movieId,imdbId,tmdbId
1,0114709,862
2,0113497,8844
3,0113228,15602
5,0113041,11862
7,0114319,11860
11,0112346,9087
14,0113987,10858
16,0112641,524
17,0114388,4584
21,0113161,8012
22,0112722,1710
25,0113627,451
26,0114057,16420
28,0114117,17015
29,0112682,902
31,0112792,9909
32,0114746,63
34,0112431,9598
36,0112818,687
38,0113442,33689
39,0112697,9603
40,0112749,34615
41,0114279,31174
43,0114272,35196
45,0114681,577
46,0113347,11861
47,0114369,807
50,0114814,629
52,0113819,11448
58,0110877,11010
62,0113862,2054
92,0117002,9095
96,0113403,40154
101,0115734,13685
104,0116483,9614
107,0117110,10874
110,0112573,197
111,0075314,103
116,0112373,51352
122,0103859,11066
140,0118055,9302
147,0112461,10474
150,0112384,568
153,0112462,414
160,0112715,10329
161,0112740,8963
162,0109508,26564
175,0113540,9344
185,0113957,1642
199,0058450,5967
215,0112471,76
216,0112508,11017
222,0112679,22625
223,0109445,2292
224,0112883,1909
230,0109642,11929
232,0111797,10451
235,0109707,522
237,0113097,10525
246,0110057,14275
247,0110005,1024
248,0110066,17207
249,0110116,13701
252,0110099,11777
257,0113501,9061
260,0076759,11
261,0110367,9587
262,0113670,19101
272,0110428,11318
273,0109836,3036
277,0110527,10510
279,0113896,38722
280,0113870,8438
282,0110638,1945
288,0110632,241
290,0110729,527
293,0110413,101
296,0110912,680
300,0110932,11450
307,0108394,108
308,0111507,109
316,0111282,2164
317,0111070,11395
318,0111161,278
326,0110081,31439
329,0111280,193
337,0108550,1587
338,0114857,9271
339,0114924,2064
342,0110598,236
345,0109045,2759
349,0109444,9331
350,0109446,10731
351,0109484,10464
356,0109830,13
357,0109831,712
361,0110167,10660
363,0107472,41647
364,0110357,8587
371,0110771,12280
377,0111257,1637
380,0111503,36955
381,0111693,10449
410,0106220,2758
412,0106226,10436
413,0109068,13595
421,0109279,14522
425,0109306,57834
431,0106519,6075
440,0106673,11566
454,0106918,37233
457,0106977,5503
471,0110074,11934
474,0107206,9386
475,0107207,7984
477,0108551,15765
480,0107290,329
488,0107468,1413
497,0107616,11971
500,0107614,788
508,0107818,9800
513,0110939,22588
515,0107943,1245
516,0110971,11858
522,0105275,10412
524,0108002,14534
527,0108052,424
529,0108065,14291
531,0108071,11236
534,0108101,10445
535,0108122,695
538,0108149,23210
539,0108160,858
540,0108162,867
541,0083658,78
543,0108174,10442
551,0107688,9479
552,0108333,10057
556,0108515,26408
562,0114906,11446
586,0099785,771
587,0099653,251
588,0103639,812
589,0103064,280
590,0099348,581
592,0096895,268
593,0102926,274
594,0029583,408
595,0101414,10020
596,0032910,10895
597,0100405,114
608,0116282,275
616,0065421,10112
628,0117381,1592
638,0113448,2021
647,0115956,10684
648,0117060,954
668,0048473,5801
670,0052572,896
671,0117128,3065
673,0117705,2300
707,0117107,10990
708,0117979,8866
720,0118114,503475
728,0112701,32513
733,0117500,9802
736,0117998,664
745,0112691,532
748,0115571,10547
750,0057012,935
778,0117951,627
780,0116629,602
800,0116905,26748
805,0117913,1645
818,0118073,12606
830,0116313,2925
832,0117438,3595
836,0115857,12123
838,0116191,3573
852,0117918,10478
858,0068646,238
892,0117991,44705
898,0032904,981
899,0045152,872
900,0043278,2769
902,0054698,164
903,0052357,426
904,0047396,567
905,0025316,3078
906,0036855,13528
907,0025164,28288
908,0053125,213
909,0053604,284
910,0053291,239
911,0056923,4808
912,0034583,289
913,0033870,963
914,0058385,11113
915,0047437,6620
916,0046250,804
918,0037059,909
919,0032138,630
920,0031381,770
921,0084370,31044
922,0043014,599
923,0033467,15
924,0062622,62
926,0042192,705
927,0032143,22490
928,0032976,223
929,0032484,25670
930,0038787,303
931,0038109,4174
934,0042451,20758
936,0031725,1859
938,0051658,17281
940,0029843,10907
941,0032762,32093
943,0039420,22292
944,0029162,3598
945,0027125,3080
947,0028010,13562
948,0049261,1712
950,0025878,3529
951,0032599,3085
952,0048960,2897
953,0038650,1585
954,0031679,3083
955,0029947,900
956,0034012,43795
965,0026029,260
968,0063350,10331
969,0043265,488
970,0046414,22733
971,0051459,261
973,0033891,32574
976,0022879,22649
986,0116329,11076
991,0117039,1770
994,0115678,18203
1006,0115862,6346
1010,0064603,14136
1013,0055277,19186
1022,0042332,11224
1025,0057546,9078
1028,0058331,433
1029,0033563,11360
1030,0076538,11114
1032,0043274,12092
1033,0082406,10948
1035,0059742,15121
1041,0117589,11159
1042,0117887,9591
1059,0117509,454
1066,0029546,31530
1068,0039286,28120
1079,0095159,623
1080,0079470,583
1081,0084865,12614
1082,0068334,21711
1084,0061418,475
1088,0092890,88
1089,0105236,500
1090,0091763,792
1093,0101761,10537
1096,0084707,15764
1097,0083866,601
1101,0092099,744
1103,0048545,221
1104,0044081,702
1120,0117318,1630
1124,0082846,11816
1125,0072081,11843
1135,0081375,10765
1136,0071853,762
1147,0118147,10548
1148,0108598,531
1171,0103850,10608
1177,0101811,26561
1178,0050825,975
1179,0099703,18129
1183,0116209,409
1185,0097937,10161
1187,0105107,41768
1188,0105488,10409
1189,0096257,14285
1193,0073486,510
1196,0080684,1891
1197,0093779,2493
1198,0082971,85
1200,0090605,679
1201,0060196,429
1203,0050083,389
1204,0056172,947
1206,0066921,185
1207,0056592,595
1208,0078788,28
1209,0064116,335
1210,0086190,1892
1212,0041959,1092
1213,0099685,769
1214,0078748,348
1217,0089881,11645
1219,0054215,539
1220,0080455,525
1221,0071562,240
1222,0093058,600
1223,0104361,530
1224,0097499,10705
1225,0086879,279
1228,0081398,1578
1230,0075686,703
1231,0086197,9549
1233,0082096,387
1234,0070735,9277
1235,0067185,343
1237,0050976,490
1240,0088247,218
1242,0097441,9665
1243,0100519,18971
1244,0079522,696
1245,0100150,379
1246,0097165,207
1247,0061722,37247
1249,0100263,9322
1250,0050212,826
1252,0071315,829
1253,0043456,828
1254,0040897,3090
1257,0088794,13667
1258,0081505,694
1259,0092005,235
1260,0022100,832
1262,0057115,5925
1263,0077416,11778
1266,0105695,33
1267,0056218,982
1269,0036613,212
1270,0088763,105
1272,0066206,11202
1274,0094625,149
1276,0061512,903
1277,0099334,11673
1278,0072431,3034
1280,0101640,10404
1281,0032553,914
1282,0032455,756
1283,0044706,288
1284,0038355,910
1285,0097493,2640
1288,0088258,11031
1291,0097576,89
1292,0078841,10322
1293,0083987,783
1296,0091867,11257
1299,0087553,625
1301,0049223,830
